"siteID","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","sstar_ave_slope","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"BART",8,2015,2022,0.245003751292837,0.0839165705762062,0.328920321869043,0.547657061993707,0.322848589115939,0.603553198971576,15,6.64550618977048,1227.48906954876,0.483640142909123,157.004508325246
"BLAN",7,2015,2022,0.0764561951133615,0.330052239825056,0.406508434938418,0.581572344985118,0.15108755074773,0.204311169546029,20,13.3619748521683,1197.52584348958,0.335249179569692,199.669952457422
"CPER",10,2013,2022,0.0679482732143682,-0.0474135114900455,0.0205347617243227,0.45975135434054,0.0520813725629464,1.08953769090598,18,9.28465415220788,402.112446802177,0.606256334317428,82.6589085695351
"DCFS",6,2017,2022,0.113687864381915,0.0237670477014812,0.137454912083396,0.498641420541417,0.110580272910757,0.709742006021566,15,4.96863686582312,497.315544987076,1.15667773602065,127.676385748875
"DEJU",7,2016,2022,0.117969647052486,-0.0579555893132738,0.0600140577392117,0.503659962670465,0.113238735624782,0.640006106160618,24,-2.35558388613864,276.990775014205,1.1957192605935,23.7905424241798
"DELA",8,2015,2022,0.103687346400912,-0.0119130610130658,0.0917742853878457,0.547482123588657,0.11142469321602,0.349831652945892,15,19.1554561736288,1559.97103478909,0.342706953799979,153.275243884339
"DSNY",7,2014,2021,0.123371382618455,0.1680602060314,0.291431588649855,0.640146218140538,0.483499408509566,0.817568742813439,15,23.7084155598536,1484.01414519478,0.410820102705595,79.3162604867198
"GRSM",8,2015,2022,0.107816962384665,0.147172925375738,0.254989887760403,0.629543158526266,0.147287075361631,1.32688674526835,15,14.0572282824134,1673.12046801189,0.320525890621101,253.66511643884
"GUAN",6,2016,2022,0.118694183768746,0.0616190137154566,0.180313197484202,0.637784833077291,0.188911951830678,0.500554027059413,14,25.7503503163331,1472.12199541992,0.20836816513986,235.024155722871
"HARV",9,2014,2022,0.131783122780831,-0.00962736822061046,0.12215575456022,0.584803338973878,0.128386148397424,1.02244925953294,20,9.47670561406505,1254.21853364741,0.541845715202361,162.426122845869
"HEAL",6,2016,2022,0.117703135503272,-0.00772100771229007,0.109982127790982,0.477272588492712,0.125703627325332,0.53296206452991,30,-2.58429288987118,393.358427242915,1.09635476847153,16.1607134977902
"JERC",6,2015,2022,0.158269447964084,0.113071626421435,0.271341074385518,0.607902236829648,0.269632759475582,0.533232934360226,14,20.2644017767297,1422.3055243211,0.357321933239678,161.409025036387
"JORN",6,2015,2022,0.0548747194568822,-0.0153790359038415,0.0394956835530408,0.522376225912289,0.0797716762682764,0.839413102615138,16,16.3072111447766,287.096403999866,0.380520497456518,46.548175798642
"KONZ",7,2016,2022,0.152273107955501,-0.0641868762368627,0.0880862317186386,0.515819335679411,0.151252707988265,0.923355762823755,14,13.4423747896846,922.411499673086,0.620394958579144,140.710800570464
"LAJA",7,2016,2022,0.161660906827201,0.0822185606407833,0.243879467467985,0.665518734915885,0.235700060422011,0.221388040148686,18,25.8078792516605,1642.19712183709,0.186887508862711,266.062957296759
"LENO",6,2016,2022,0.135029099594042,0.0897479336746766,0.224777033268718,0.515186443691526,0.171863513546456,0.425780318588395,19,19.5959350151651,1628.4533655475,0.359527316314228,192.719423471934
"NIWO",8,2015,2022,0.0594594846408762,0.306071378852296,0.365530863493172,0.5465446930386,0.11762074068554,0.500844377872817,17,3.66188988195632,479.453637604214,0.48032165555965,94.6215219460065
"NOGP",7,2016,2022,0.107270616325025,-0.0308730988557484,0.0763975174692768,0.544973603980422,0.185109018754199,0.329860647570224,16,6.12877586408673,443.653196789129,1.20161537219031,114.724034353052
"OAES",7,2015,2022,0.126209584433868,-0.0184861179977612,0.107723466436106,0.425066707367424,0.176274728320919,0.330158985521101,23,16.1214719842128,724.385664909337,0.442651480412214,133.228823353982
"ORNL",9,2014,2022,0.157264504593848,-0.0204840448789442,0.136780459714903,0.527886186775705,0.201190723913078,1.13091454178629,18,15.0987738731215,1558.13934909662,0.605135777729047,207.816644872324
"OSBS",6,2015,2021,0.150283569243023,0.0814185350127599,0.231702104255782,0.640439108768747,0.186109609579564,0.943690808140066,15,22.1191841095422,1506.04864382239,0.253889284485243,74.9520880110242
"RMNP",6,2017,2022,0.0927496754528126,0.110970759765461,0.203720435218273,0.691418908461729,0.151864935862265,0.857992877775947,16,4.33676719189463,444.087538491917,0.521039758052608,87.0520403207644
"SCBI",8,2014,2022,0.11191398026761,0.0176054393546867,0.129519419622296,0.471240827485532,0.244077674855465,0.636516519118119,14,13.1376179950014,1188.61050460336,0.62249727748602,188.100335157158
"SERC",7,2015,2022,0.105133839748326,0.102443121072354,0.207576960820679,0.527486383342186,0.247572883552991,0.332981213426145,29,14.2751938216269,1223.10966152361,0.260736905026187,194.160116119057
"SRER",7,2016,2022,0.0854939504359552,0.0572270246481189,0.142720975084074,0.547738960431194,0.155353210524044,1.71324391681814,24,18.4079883303492,375.068093690177,0.377973000571868,108.533316506399
"STEI",7,2015,2021,0.112581342049981,0.169143782133005,0.281725124182986,0.620516805580378,0.140545900917699,0.76253782628681,16,5.31271547624186,962.444611154264,0.802629995139676,123.136195159089
"TALL",9,2014,2022,0.152589874128415,0.035267115612736,0.187856989741152,0.625027863977218,0.197992935590046,1.2417394055842,14,18.678240675131,1527.86618729835,0.642655530743172,164.369777986513
"TREE",6,2015,2021,0.129283379338133,0.148804716931539,0.278088096269672,0.581539268620265,0.25099590124534,0.229852259473189,21,5.56175781133491,961.450835177029,0.841437742440416,146.29659935397
"UKFS",6,2016,2021,0.118911844668682,-0.031849259514251,0.0870625851544312,0.57630742081925,0.18292867332952,0.366584910006281,14,13.9894882744063,1094.12774839321,0.657291241532754,107.879200742947
"UNDE",7,2014,2021,0.111399311245388,0.0294148738442487,0.140814185089637,0.605053403532339,0.15187556768415,0.607161113886503,24,4.44544201470703,984.578108732491,1.14216950043353,123.603347211159
"WOOD",8,2014,2021,0.098608085749376,0.0443959994926992,0.143004085242075,0.556542968956924,0.147479111665039,0.431406489414667,21,5.14780478047149,511.105692459767,1.28773961860195,115.348109632813
