siteID,N,Area,sr,spe_sta,spe_asyn,com_sta
BART,1,400,8.956043956,1.37033376,1.854369956,2.541105754
BART,2,800,13.26923077,1.515204135,1.97165639,2.987461916
BART,4,1600,18.49450549,1.733193951,2.144104775,3.716149425
BART,8,3200,25.08791209,2.028235706,1.929424348,3.913327353
BART,16,6400,35.78021978,2.626827045,1.936730559,5.08745621
BART,26,10400,43.85714286,2.753546725,1.807667529,4.977497005
HARV,1,400,22.7952381,1.309346581,2.058907157,2.695823046
HARV,2,800,36.37142857,1.397409306,2.17672813,3.041780147
HARV,4,1600,56.85714286,1.504678545,2.075281903,3.122632154
HARV,8,3200,82.85238095,1.63687061,1.998148274,3.270710185
HARV,16,6400,117.2142857,1.773321275,1.974527771,3.501472105
HARV,30,12000,146.7142857,1.907472003,1.834641984,3.499528221
BLAN,1,400,23.84920635,1.024758549,4.264176743,4.369751573
BLAN,2,800,35.37301587,1.107284485,4.13484717,4.57845212
BLAN,4,1600,57.57142857,1.11319567,4.821252685,5.366997615
BLAN,8,3200,83.17460317,1.15907836,5.203355391,6.031096632
BLAN,16,6400,113.6587302,1.236623609,5.524156018,6.831301754
BLAN,21,8400,140.5,1.237444464,5.119173919,6.334693427
SCBI,1,400,32.07518797,1.438565524,2.848617453,4.097922858
SCBI,2,800,47.89473684,1.545884744,3.041093058,4.701179362
SCBI,4,1600,75.16541353,1.642718312,3.440902211,5.652433072
SCBI,8,3200,102.4210526,1.810323452,3.58312436,6.486614061
SCBI,16,6400,146.0075188,1.985240542,3.810884295,7.565522005
SCBI,19,7600,156.8571429,2.032216683,3.726278886,7.572606116
SERC,1,400,28.28387097,1.540900189,2.277466094,3.509347935
SERC,2,800,43.70967742,1.573093274,2.571809736,4.045696598
SERC,4,1600,64.76774194,1.636572423,2.64143977,4.322907483
SERC,8,3200,91.03225806,1.763019268,3.063196611,5.400474647
SERC,16,6400,121.8193548,1.975091594,3.34420103,6.605103343
SERC,31,12400,159.4,1.989467233,3.798260077,7.556513965
JERC,1,400,51.80645161,0.994692247,3.417193415,3.399055798
JERC,2,800,87.62580645,1.065481314,4.053736945,4.319180968
JERC,4,1600,135.5483871,1.205257136,4.051128075,4.882651022
JERC,8,3200,193.2774194,1.319469833,4.163224775,5.493249498
JERC,16,6400,258.4516129,1.477966963,3.948658781,5.835987225
JERC,31,12400,355,1.642052871,4.033134769,6.622620527
OSBS,1,400,21.32352941,1.17947795,2.698148187,3.182406294
OSBS,2,800,34.41176471,1.290889578,2.890545477,3.731375031
OSBS,4,1600,60.21568627,1.351596381,2.936243937,3.968616679
OSBS,8,3200,98.64705882,1.430501521,2.900050444,4.14852657
OSBS,16,6400,139.7254902,1.72453367,2.553360641,4.403356396
OSBS,17,6800,147.6666667,1.674465819,2.731638718,4.574035663
GUAN,1,400,18.12631579,0.869303286,2.462225222,2.140420477
GUAN,2,800,30.15789474,0.90458166,2.627314114,2.376620162
GUAN,4,1600,46.72631579,0.971199243,2.73420593,2.65545873
GUAN,8,3200,66.27368421,1.054946498,2.939474506,3.100988335
GUAN,16,6400,94.92631579,1.126316867,3.172837804,3.573620735
GUAN,19,7600,101.4,1.189616261,3.160558183,3.759851408
LAJA,1,400,8.691666667,0.664637918,4.751011639,3.157702484
LAJA,2,800,13.93333333,0.70610865,5.856051727,4.135008782
LAJA,4,1600,22.725,0.73473379,7.064758155,5.190716536
LAJA,8,3200,36.3,0.773914412,7.793349015,6.031385121
LAJA,16,6400,60.20833333,0.834683643,9.481813356,7.914314519
LAJA,30,12000,90.5,0.884717763,8.269648237,7.316304692
STEI,1,400,28.125,1.187774963,3.07206926,3.648926951
STEI,2,800,45.65625,1.281265267,3.780278403,4.843539416
STEI,4,1600,71.35625,1.354339155,4.45168124,6.029086209
STEI,8,3200,99.5375,1.467573813,5.423848004,7.959897298
STEI,16,6400,137.125,1.606317276,5.294586932,8.504786459
STEI,32,12800,190.4,1.859966865,5.003262231,9.305901966
TREE,1,400,29.49655172,1.404068341,2.306906366,3.239054193
TREE,2,800,45.84137931,1.508669023,2.602098688,3.925705684
TREE,4,1600,69.64137931,1.734537267,2.642987289,4.58435995
TREE,8,3200,99.62758621,1.966770007,2.888216986,5.680458543
TREE,16,6400,128.4896552,2.277963968,2.942887013,6.703790577
TREE,29,11600,172.8,2.285432239,2.800759,6.400944914
UNDE,1,400,24.35802469,1.32662889,2.552231703,3.38586431
UNDE,2,800,38.64197531,1.440610631,2.914687995,4.198930511
UNDE,4,1600,63.02469136,1.518022858,3.407807875,5.17313025
UNDE,8,3200,95.04938272,1.666694403,4.204352068,7.007370061
UNDE,16,6400,131.8765432,1.839082696,5.323683126,9.790693516
UNDE,27,10800,158.5,2.014489926,4.176247857,8.413009239
KONZ,1,400,37.03125,1.349030352,2.082932328,2.809938932
KONZ,2,800,59.2421875,1.486802852,2.223411307,3.305774272
KONZ,4,1600,86.234375,1.602532994,2.016495418,3.23150044
KONZ,8,3200,117.625,1.801514034,1.801178501,3.244848347
KONZ,16,6400,159.75,1.95616085,1.699889775,3.325257828
KONZ,32,12800,201.75,2.088989789,1.553311127,3.244851083
UKFS,1,400,34.32575758,1.343838752,2.225984086,2.991363677
UKFS,2,800,51.35606061,1.483865667,2.470702859,3.666191145
UKFS,4,1600,79.18181818,1.596337589,2.468167656,3.940028806
UKFS,8,3200,113.1893939,1.790512024,2.411092612,4.317090314
UKFS,16,6400,156.1439394,1.996634645,2.343552741,4.679218596
UKFS,32,12800,219.9393939,2.121566805,2.212615256,4.694211079
UKFS,33,13200,221.5,2.134791087,2.202287214,4.701423116
GRSM,1,400,21.50666667,1.386014418,2.539341554,3.519564006
GRSM,2,800,34.88666667,1.526183771,2.915607201,4.449752393
GRSM,4,1600,51.38666667,1.663499453,3.030421269,5.041104123
GRSM,8,3200,87.47333333,1.656225999,3.010816432,4.986592454
GRSM,16,6400,123.5066667,1.782827622,3.139048966,5.596383204
GRSM,30,12000,161.8,2.087074842,3.071342231,6.410121102
ORNL,1,400,29.17142857,1.258223375,3.095667043,3.895040634
ORNL,2,800,49.62142857,1.350925736,3.482507801,4.704609414
ORNL,4,1600,71.57857143,1.483601038,3.674446736,5.451412992
ORNL,8,3200,99.4,1.654406254,3.521400848,5.825827584
ORNL,16,6400,129.3285714,1.976493993,3.466926508,6.852359417
ORNL,20,8000,139.4285714,2.111122281,3.118955466,6.584496378
DELA,1,400,27.86781609,1.0394853,2.234023077,2.322234149
DELA,2,800,41.9137931,1.133059976,2.240040389,2.53810011
DELA,4,1600,62.60344828,1.204600349,2.234188766,2.691304566
DELA,8,3200,88.3045977,1.275235553,2.039555852,2.600914136
DELA,16,6400,117.8103448,1.406714084,1.929616015,2.714418026
DELA,29,11600,144.3333333,1.512745425,1.841755477,2.786107171
LENO,1,400,23.89393939,1.062853462,2.4316139,2.584449253
LENO,2,800,38.31818182,1.165567425,2.717163114,3.167036813
LENO,4,1600,55.50757576,1.205480043,2.668439319,3.216750344
LENO,8,3200,75.15151515,1.30015618,2.668347126,3.469268007
LENO,16,6400,99.31818182,1.42298705,2.571039012,3.658555219
LENO,32,12800,141.5984848,1.574133276,2.563927014,4.03596283
LENO,33,13200,143.5,1.577380694,2.586116439,4.079290143
TALL,1,400,29.4469697,0.90257358,3.233571395,2.918536111
TALL,2,800,49.28787879,0.942000223,3.407575582,3.20993696
TALL,4,1600,75.68939394,1.056872779,3.837214825,4.055447895
TALL,8,3200,111.969697,1.14670292,3.870089292,4.437842693
TALL,16,6400,150.5833333,1.270053497,3.662918728,4.652102738
TALL,22,8800,170.3333333,1.341939055,3.401049076,4.564000584
DCFS,1,400,34.78787879,1.850445655,2.914995019,5.394039867
DCFS,2,800,50.52272727,2.036167923,2.933353698,5.972800707
DCFS,4,1600,69.10606061,2.193782794,2.877488775,6.312585367
DCFS,8,3200,89.99242424,2.343164892,2.744995855,6.431977915
DCFS,16,6400,119.5909091,2.533461606,2.666875454,6.75642657
DCFS,32,12800,147.1136364,2.700440233,2.502619487,6.75817435
DCFS,33,13200,149,2.739378727,2.470226435,6.766885745
NOGP,1,400,21.88387097,1.755740195,2.684376526,4.713067766
NOGP,2,800,33.98064516,1.854425919,2.786383724,5.167142198
NOGP,4,1600,50.80645161,2.0633903,2.860332651,5.901982647
NOGP,8,3200,71.98709677,2.321449515,2.839654895,6.592115479
NOGP,16,6400,96.87741935,2.482538551,2.9995122,7.446404671
NOGP,31,12400,122.4,2.599215449,2.557037998,6.646292666
WOOD,1,400,17.14285714,1.293309702,2.037132585,2.634643335
WOOD,2,800,28.07738095,1.411870519,2.087662838,2.947509615
WOOD,4,1600,41.85119048,1.502458185,2.134775608,3.207411085
WOOD,8,3200,62.23809524,1.591124751,2.088744478,3.323453038
WOOD,16,6400,84.89880952,1.643284562,1.994231361,3.277089608
WOOD,24,9600,101.4285714,1.711803312,2.03027877,3.475437922
CPER,1,400,22.57386364,1.051359196,1.980580682,2.082301715
CPER,2,800,31.80113636,1.128035043,1.903712909,2.147454874
CPER,4,1600,43.89772727,1.171376162,1.843790543,2.15977229
CPER,8,3200,56.10227273,1.208566558,1.78422217,2.156351246
CPER,16,6400,74.11931818,1.286662764,1.710261904,2.200530309
CPER,22,8800,82.625,1.312496116,1.714618934,2.250430692
RMNP,1,400,15.95454545,1.313091617,2.581609961,3.389890398
RMNP,2,800,25.9469697,1.385102519,2.677719347,3.708915812
RMNP,4,1600,38.87878788,1.508172338,2.831929156,4.271037216
RMNP,8,3200,53.27272727,1.611974789,3.195959895,5.151806777
RMNP,16,6400,87.53787879,1.811808722,3.002410454,5.439793448
RMNP,32,12800,120.9318182,1.883756397,2.773501381,5.224600968
RMNP,33,13200,134,1.848719226,2.578355244,4.766654911
CLBJ,1,400,36.20454545,1.193721238,2.83811273,3.387915442
CLBJ,2,800,60.11363636,1.303439401,3.156990892,4.114946317
CLBJ,4,1600,95.43181818,1.412816953,3.000081208,4.23856559
