"region","area","spe_sta","spe_asyn","com_sta","sr"
"BART",1,1.6720481214655,1.96182278928306,3.28026210946895,10.3416666666667
"BART",2,1.77420058685385,2.43969703655948,4.32851191400942,16.7916666666667
"BART",4,2.10784414049667,2.72527543177745,5.74445585011163,23
"BART",8,2.6296426718976,2.70669713654636,7.11764629016534,35.2666666666667
"BART",15,3.1652326350566,2.46595690700176,7.8053272786852,45.875
"BLAN",1,1.02022203725374,5.2042032549958,5.30944284709436,22.8928571428571
"BLAN",2,1.08640687060959,5.66360651321358,6.15298102838447,35.0357142857143
"BLAN",4,1.12963594291562,7.87578234193322,8.89676681202794,55.9071428571429
"BLAN",8,1.17925989226009,10.7631496367897,12.6925506810599,80.95
"BLAN",16,1.27686759393223,15.1814797125428,19.3847394728854,112.085714285714
"BLAN",20,1.28461047342956,10.8841163548005,13.9818498634026,135.714285714286
"CPER",1,1.04477586792402,2.15879943209988,2.25546155034604,19.2666666666667
"CPER",2,1.09905066173544,2.11297958128516,2.32227160704494,27.8777777777778
"CPER",4,1.18341090500948,2.00062951271991,2.36756678223654,39.4944444444444
"CPER",8,1.22363579415378,1.94651967720786,2.38183115105619,52.7611111111111
"CPER",16,1.30808231476601,1.87390513126513,2.4512221617572,70.3055555555556
"CPER",18,1.33167929997657,1.85806387762884,2.47434520387253,74.2
"DCFS",1,1.51181821701266,3.81210675303192,5.76321243443063,33.1444444444444
"DCFS",2,1.60445433560348,4.08664179966824,6.5568301535361,51.7222222222222
"DCFS",4,1.66727451410952,4.81398372245044,8.0262323717797,77.4
"DCFS",8,1.82598378872293,4.71747847483366,8.61403921869566,105.255555555556
"DCFS",15,2.08984953530174,3.82313023500842,7.98976694503038,126.166666666667
"DEJU",1,2.04647502592085,1.65057471608138,3.37785993487694,16.3333333333333
"DEJU",2,2.22864772879194,1.66621573321093,3.71340790949794,24.952380952381
"DEJU",4,2.36992437981428,1.64016916689742,3.88707689564987,37.5238095238095
"DEJU",8,2.56696907207549,1.55473323654602,3.99095213354147,50.3214285714286
"DEJU",16,2.84968566487566,1.45389903183307,4.1431552291913,69.6190476190476
"DEJU",24,2.95498606591773,1.38094966480063,4.08068701721962,82
"DELA",1,0.917984702845313,2.70400399673998,2.48223430543989,24.7833333333333
"DELA",2,1.01179141921138,2.7763910148221,2.80912860517258,38.4416666666667
"DELA",4,1.05841722095848,2.73582827407524,2.89564775886635,57.375
"DELA",8,1.13932273078247,2.74924688071214,3.13227946372814,80.5166666666667
"DELA",15,1.22888848718433,2.61204558858075,3.20991275180749,110
"DSNY",1,1.06207848684124,4.08008509454907,4.33337060340218,28.1238095238095
"DSNY",2,1.13386274828709,4.21459891435344,4.77877670795658,42.8761904761905
"DSNY",4,1.25636571941941,4.76554925727503,5.987272721045,73.5142857142857
"DSNY",8,1.3054312369177,6.15446232959071,8.03422737148096,111.219047619048
"DSNY",15,1.5078412888625,5.96890698080253,9.00016439503368,153.714285714286
"GRSM",1,1.55482338960258,2.3186790667776,3.6051364460077,22.75
"GRSM",2,1.66360574524495,2.42702105138645,4.03760616491692,37.2333333333333
"GRSM",4,1.8536064592586,2.37620670044804,4.40455208848404,56.575
"GRSM",8,1.96710866933648,2.61440486213858,5.14281846946825,93.6
"GRSM",15,2.09974048347164,2.86917925645064,6.02453183910649,121.75
"GUAN",1,1.06039114696663,2.10741250390477,2.23468156214739,17.297619047619
"GUAN",2,1.10590101742703,2.45249721129482,2.7122191612079,28.9642857142857
"GUAN",4,1.22441319944211,2.44119205315678,2.98902777225835,46.3928571428571
"GUAN",8,1.25032739259282,2.77480153960216,3.46941037397331,72.6309523809524
"GUAN",14,1.48777196127385,2.41323033781113,3.59033643269082,90.8333333333333
"HARV",1,1.24163450973052,2.33016290160055,2.89321067192103,22.1444444444444
"HARV",2,1.314367106227,2.69676634780603,3.54454098073616,38.4666666666667
"HARV",4,1.46933194880201,2.56160327658445,3.76384553444145,56.8444444444444
"HARV",8,1.59236554463996,2.64457311310385,4.21112710558782,86.6555555555556
"HARV",16,1.76265817123416,2.4172839513309,4.26084530900662,119.861111111111
"HARV",20,1.82805010964141,2.33293418150525,4.26472058628686,131.333333333333
