"region","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"BLAN",7,2015,2022,0.0740155401691856,0.370401961113828,0.444417501283014,0.612406780598378,2.99952334811595,0.191628605776601,21,13.3631829500131,1197.61678350732,0.335252622247037,199.701573627247
"CPER",10,2013,2022,0.0894573507461413,-0.0496688637702397,0.0397884869759015,0.458275616054954,4.66935481644852,1.16898633814792,19,9.29126597158028,402.089552716484,0.606409140179543,82.6800370905409
"DCFS",6,2017,2022,0.116951923907428,0.0315978530892657,0.148549776996694,0.525572701110783,5.61490047575127,0.706862207921925,15,4.96863686582312,497.315544987076,1.15667773602065,127.676385748875
"DEJU",7,2016,2022,0.0757707643121868,-0.0128844733138508,0.0628862909983362,0.565433859337944,3.43654933553867,0.576290247123184,26,-2.35321622331101,276.991314975976,1.19569951756532,23.8055547106061
"DELA",8,2015,2022,0.0915342081309502,0.0699790165127832,0.161513224643733,0.635662296273551,0.986510856132373,0.315194034333163,17,19.1556197440424,1559.97583692928,0.342709571540922,153.281943271624
"DSNY",7,2014,2021,0.102828212491387,0.152135432768968,0.254963645260355,0.665259513866158,3.77172547348813,0.817130279289585,15,23.7084155598536,1484.01414519478,0.410820102705595,79.3162604867198
"GRSM",7,2015,2022,0.0903656565994638,0.228374887747957,0.318740544347421,0.751200985807857,7.48482292812304,1.55350085404726,14,14.0065167831288,1697.72802947103,0.330241430750742,274.588737210683
"HARV",9,2014,2022,0.116622034851486,0.0575489863723856,0.174171021223871,0.6412067465165,5.47277172005705,0.97411973337203,21,9.47847621356244,1254.30185343645,0.541844224318797,162.439007233801
"HEAL",6,2016,2022,0.113187300775639,0.0119002457905078,0.125087546566147,0.522203582169503,2.61025150649086,0.505240178860178,32,-2.58306772229629,393.346925915882,1.09635125696826,16.1633552258275
"JERC",7,2015,2022,0.161364625604938,-0.00293147266171917,0.158433152943219,0.602145351423457,1.47447272401892,0.459884313715906,14,20.232350194177,1442.63997388627,0.337182596522914,156.78578982261
"JORN",7,2015,2022,0.0625917650026964,0.00478920889037414,0.0673809738930707,0.565067619803994,2.99370095108149,0.829086937488878,18,16.3235200307988,284.353094134521,0.352324970980074,43.2613581507906
"KONZ",7,2016,2022,0.143246762337343,-0.0563712450262184,0.0868755173111245,0.548032332521439,2.79747426792306,0.851260428039649,15,13.4434152794922,922.240131065295,0.620415902675904,140.696019610757
"LAJA",7,2016,2022,0.146458086717343,0.118832764089368,0.265290850806711,0.681130728594699,1.18328070308209,0.195746585422419,24,25.8090423462991,1641.55374779999,0.186895983467455,265.982224274376
"LENO",6,2016,2022,0.119362448335442,0.097274903508242,0.216637351843684,0.595393120537118,2.57579240943469,0.407460674823679,20,19.5961203579771,1628.41283561094,0.35953273514757,192.70002081827
"NIWO",8,2015,2022,0.0567512891151876,0.136879253367191,0.193630542482379,0.565973004969453,1.69103242155973,0.467277967284311,17,3.67566559517212,479.386718874915,0.480243473936853,94.6475764030225
"NOGP",7,2016,2022,0.0998820427482588,0.00108528611847122,0.10096732886673,0.596932460552239,1.94697046681502,0.309768591553333,17,6.12895422024258,443.639035469344,1.20162099269817,114.720731302802
"OAES",7,2015,2022,0.127482751486335,-0.0645662414059187,0.0629165100804164,0.444240613915804,1.51255315459354,0.329700562346779,23,16.1214719842128,724.385664909337,0.442651480412214,133.228823353982
"ORNL",8,2014,2022,0.0561293180267318,0.23343708506331,0.289566403090042,0.719091211195376,5.27184472740317,1.36297124949504,14,15.0401709045359,1606.30876145223,0.609676360059108,155.573615858156
"OSBS",6,2014,2021,0.129156838934755,0.0410901356202041,0.170246974554959,0.71122043272911,3.31175981024731,0.95709803070805,14,21.9725447680386,1503.26626497217,0.537344253866845,72.2788496523409
"RMNP",6,2017,2022,0.1135907324543,0.207996791281359,0.321587523735659,0.683120398245256,5.64892681574773,0.574450821882827,21,4.33612591339764,444.175522261591,0.52097890702307,87.0456240410757
"SCBI",9,2014,2022,0.0702050443429868,0.0516630122349458,0.121868056577933,0.540841140664678,2.32848535881445,0.554992885633677,16,13.1538717683662,1167.98483775471,0.585320666593155,186.388221641845
"SERC",7,2015,2022,0.0744953641566094,0.0456394891147798,0.120134853271389,0.591256471927281,2.09924482748163,0.328800023342458,30,14.2744039495009,1223.09242955415,0.260726578654774,194.157999360322
"SRER",7,2016,2022,0.0656712804952592,-0.0179064038231793,0.0477648766720799,0.564105954287286,7.12277803925815,1.54816995299664,28,18.4176266345156,374.632309765869,0.377993372072857,108.1822067039
"STEI",7,2015,2021,0.100487773380268,0.305193349329444,0.405681122709712,0.656946325232341,15.6051177958655,0.717457621548784,20,5.32160094558352,962.296438174191,0.80171664443689,123.390521373539
"TALL",9,2014,2022,0.102414146660608,0.0779912348168444,0.180405381477452,0.678291282835606,4.77848279414381,1.13120128111837,17,18.6864759422797,1527.95053085368,0.643086749059006,164.308492493336
"TREE",6,2015,2021,0.114214122928058,0.112826487150303,0.227040610078361,0.583685035341707,1.3658839092852,0.205316721159754,28,5.56224700729547,961.485810032231,0.841305938408407,146.354780177745
