"region","duration","start_year","end_year","sstar_slope","sstar_ave_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"BART",8,2015,2022,0.245003751292837,0.322848589115939,0.0839165705762062,0.328920321869043,0.547657061993707,2.25813114136283,0.603843569734891,15,6.64550618977048,1227.48906954876,0.483640142909123,157.004508325246
"BLAN",7,2015,2022,0.0766524029863834,0.150942567940301,0.33072665435747,0.407379057343853,0.581777125526498,3.10556012208674,0.203804860555238,20,13.3619748521683,1197.52584348958,0.335249179569692,199.669952457422
"CPER",10,2013,2022,0.0822528183156943,0.112041697164089,-0.0531006370177523,0.0291521812979422,0.459987806305167,4.55942708663065,1.08885957826209,18,9.28465415220788,402.112446802177,0.606256334317428,82.6589085695351
"DCFS",6,2017,2022,0.113687864381915,0.110580272910757,0.0237670477014812,0.137454912083396,0.498641420541417,5.61490047575127,0.706862207921925,15,4.96863686582312,497.315544987076,1.15667773602065,127.676385748875
"DEJU",7,2016,2022,0.116267056197437,0.111258494298829,-0.0582050894648457,0.0580619667325916,0.502867454904982,3.57316154700051,0.606858837398895,24,-2.35558388613864,276.990775014205,1.1957192605935,23.7905424241798
"DELA",8,2015,2022,0.10314858029381,0.110683813729631,-0.0112948930203156,0.0918536872734944,0.547261269722543,0.988046430586622,0.350501044744986,15,19.1554561736288,1559.97103478909,0.342706953799979,153.275243884339
"DSNY",7,2014,2021,0.123371382618455,0.483499408509566,0.1680602060314,0.291431588649855,0.640146218140538,3.77172547348813,0.817130279289585,15,23.7084155598536,1484.01414519478,0.410820102705595,79.3162604867198
"GRSM",8,2015,2022,0.113057706841643,0.151618716989578,0.0730897939457672,0.18614750078741,0.629543158526266,8.28635312929674,1.32544967564316,15,14.0572282824134,1673.12046801189,0.320525890621101,253.66511643884
"GUAN",6,2016,2022,0.118628260793312,0.188874154386306,0.0616565500018794,0.180284810795191,0.637870164382259,2.22238266565861,0.49966651266215,14,25.7503503163331,1472.12199541992,0.20836816513986,235.024155722871
"HARV",9,2014,2022,0.131605521092111,0.12820018410245,-0.00997531496595156,0.12163020612616,0.584740775641817,5.55250684031397,1.02414814432401,20,9.47670561406505,1254.21853364741,0.541845715202361,162.426122845869
