"Site","plot","Latitude","Longitude","time","start_year","end_year"
"BART","BART_002",44.035076,-71.272844,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_003",44.055247,-71.263146,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_007",44.049697,-71.298504,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_012",44.046097,-71.316312,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_013",44.041737,-71.277598,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_016",44.051234,-71.288463,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_018",44.058473,-71.277866,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_023",44.049319,-71.263643,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_026",44.061261,-71.313922,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_027",44.057941,-71.261742,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_028",44.054076,-71.306536,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_031",44.055537,-71.305098,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_036",44.062082,-71.285878,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_040",44.06576,-71.29199,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BART","BART_071",44.067944,-71.290624,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"BLAN","BLAN_001",39.087919,-77.958389,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_005",39.087456,-77.971942,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_007",39.085485,-77.969265,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_009",39.086824,-77.95775,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_011",39.087243,-77.974013,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_012",39.082046,-77.961088,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"BLAN","BLAN_013",39.080851,-77.96809,"2016,2017,2018,2019,2020,2021,2022",2016,2022
